transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
84,33,3297,02-11-2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",11-10-1992
85,84,2434,13-02-2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14,18-12-2004
89,0,2682,04-04-2017,TRUE,Approved,OHM Cycles,Road,high,large,12.01,$7.21,05-05-2010
90,62,439,15-08-2017,TRUE,Approved,Solex,Standard,medium,medium,478.16,$298.72,23-06-1993
91,17,1579,15-04-2017,TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80,05-04-1996
92,73,2984,25-07-2017,TRUE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,22-05-2000
93,33,3470,28-11-2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",04-12-1999
97,80,211,31-05-2017,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,18-12-2004
108,26,947,11-10-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,$762.63,26-05-1993
109,39,1335,27-03-2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1812.75,$582.48,01-10-2006
111,0,3320,11-06-2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,17-06-2015
113,98,3296,07-06-2017,TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,06-05-1991
114,75,455,24-10-2017,TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95,09-09-2003
116,72,2703,21-11-2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,10-01-2011
122,24,1038,01-12-2017,TRUE,Approved,Solex,Road,medium,large,1777.8,$820.78,26-05-1993
123,31,1453,05-03-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36,02-08-2015
125,22,3382,03-01-2017,TRUE,Approved,Solex,Standard,medium,medium,575.27,$431.45,12-03-2013
127,84,2503,16-03-2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14,10-05-2005
131,96,2403,18-01-2017,TRUE,Approved,WeareA2B,Road,low,small,1172.78,"$1,043.77",10-10-2002
133,93,1282,02-09-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09,10-10-2002
136,65,1170,25-04-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,11-04-2015
143,60,2135,26-01-2017,TRUE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",18-05-2012
145,7,2992,07-06-2017,TRUE,Approved,Trek Bicycles,Road,low,medium,980.37,$234.43,07-12-2005
146,41,3261,06-04-2017,TRUE,Approved,Solex,Road,medium,medium,416.98,$312.74,10-05-1997
147,67,2748,25-04-2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,22-10-2005
150,9,3067,21-11-2017,TRUE,Approved,OHM Cycles,Road,medium,medium,742.54,$667.40,09-09-1994
153,37,3286,19-08-2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,20-07-1999
154,3,3383,06-04-2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,29-08-2011
155,56,982,04-11-2017,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,04-02-2016
156,14,676,22-08-2017,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",09-09-2003
157,6,385,15-09-2017,TRUE,Approved,Solex,Standard,high,medium,748.17,$448.90,11-04-2015
158,50,1229,01-03-2017,TRUE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,12-04-2009
163,80,2519,20-05-2017,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,10-08-2015
165,3,2637,25-10-2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,09-08-2005
172,55,2365,11-04-2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,21-01-1991
176,74,1335,30-03-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1228.07,$400.91,09-09-2003
178,56,3226,25-07-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,04-10-1997
180,20,3349,18-03-2017,TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47",05-05-2010
184,71,2409,05-07-2017,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",24-10-1995
186,17,2582,08-11-2017,TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80,09-11-1996
187,1,1005,24-07-2017,TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95,09-09-2003
188,3,1597,15-01-2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,15-09-2012
189,56,2713,12-01-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,23-06-1993
190,37,1435,27-11-2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,09-05-2011
191,34,1477,30-06-2017,TRUE,Approved,Norco Bicycles,Road,high,large,774.53,$464.72,19-03-2008
192,0,1614,15-07-2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,10-11-2006
193,12,1254,22-06-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,08-03-2009
196,19,1315,21-12-2017,TRUE,Approved,OHM Cycles,Road,high,large,12.01,$7.21,23-06-1999
197,45,591,23-05-2017,TRUE,Approved,Solex,Standard,medium,medium,441.49,$84.99,12-04-1993
200,57,2889,15-04-2017,TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,23-06-1993
201,0,3208,05-09-2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,04-06-2012
202,23,2406,26-02-2017,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,10-11-2006
204,81,1598,03-07-2017,TRUE,Approved,Norco Bicycles,Standard,medium,small,586.45,$521.94,10-07-1991
205,58,1842,27-05-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40,18-10-2015
210,63,3356,12-04-2017,TRUE,Approved,Solex,Standard,medium,medium,1483.2,$99.59,02-10-1992
211,40,766,07-05-2017,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,02-02-2006
214,46,868,22-03-2017,TRUE,Approved,Solex,Standard,low,medium,1289.85,$74.51,10-04-2012
216,72,352,29-11-2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,06-12-2016
220,10,1502,09-04-2017,TRUE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,12-03-2013
222,8,939,08-07-2017,TRUE,Approved,Solex,Road,medium,small,1703.52,"$1,516.13",16-04-2011
224,69,579,25-04-2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,02-10-1992
225,54,2036,30-03-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,12-04-2009
227,86,369,16-03-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,10-05-2005
228,13,821,04-04-2017,TRUE,Approved,Solex,Standard,medium,medium,1163.89,$589.27,12-03-2013
229,19,2687,13-03-2017,TRUE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,29-08-2011
230,86,681,23-12-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,09-06-2013
231,46,37,12-08-2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,20-07-1999
234,71,550,01-09-2017,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",24-10-1995
236,7,2325,31-08-2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",18-03-2003
237,23,1420,11-03-2017,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,02-10-1993
239,61,1645,01-10-2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,21-05-2015
241,86,2885,27-03-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,05-01-2003
243,63,3166,13-11-2017,TRUE,Approved,Solex,Standard,medium,medium,1483.2,$99.59,17-12-1998
244,63,3487,20-12-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,$762.63,26-05-1993
245,33,2890,22-09-2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",07-06-2010
247,15,3393,29-01-2017,TRUE,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,08-03-2009
249,61,3466,10-02-2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,17-06-2015
256,13,1580,22-10-2017,TRUE,Approved,Solex,Standard,medium,medium,1577.53,$826.51,16-03-2011
258,49,1777,15-06-2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,04-06-2012
259,87,142,06-07-2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,25-08-1997
263,53,3405,22-10-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58,22-05-2000
266,44,3467,07-11-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,09-05-2011
267,69,3436,13-08-2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,10-10-2014
269,11,2833,25-01-2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,12-03-2013
272,0,2149,30-04-2017,TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,16-01-2004
274,6,360,26-05-2017,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,03-03-2014
275,76,2969,03-02-2017,TRUE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,10-10-2014
284,44,2024,03-10-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,04-06-2012
285,48,142,27-07-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1762.96,$950.52,28-07-2014
286,56,768,07-08-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,20-07-1993
287,36,2147,07-02-2017,TRUE,Approved,Solex,Standard,low,medium,1289.85,$74.51,04-06-2012
288,36,529,20-11-2017,TRUE,Approved,Solex,Standard,low,medium,945.04,$507.58,02-02-2006
290,55,624,05-04-2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,20-07-1993
294,79,1079,25-08-2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,09-09-2003
295,11,1643,20-01-2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,04-08-2007
296,91,1524,14-03-2017,TRUE,Approved,Solex,Standard,medium,medium,100.35,$75.26,10-09-2003
297,18,3205,14-04-2017,TRUE,Approved,Solex,Standard,medium,medium,575.27,$431.45,12-03-2013
298,17,2860,20-11-2017,TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80,09-11-1996
300,4,323,25-03-2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,17-08-2004
302,42,2426,17-03-2017,TRUE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90",04-12-1999
314,6,58,20-08-2017,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,04-08-2007
315,40,3118,18-12-2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,21-07-2003
317,90,2202,19-06-2017,TRUE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,26-07-1999
318,32,2144,31-05-2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,11-10-1992
319,65,1033,09-10-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,31-08-2002
320,15,2157,20-06-2017,TRUE,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,07-12-2005
323,67,87,08-11-2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,22-10-2005
325,62,952,14-11-2017,TRUE,Approved,Solex,Standard,medium,medium,478.16,$298.72,02-10-1992
327,1,40,09-05-2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,14-11-2016
328,98,372,17-10-2017,TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,06-05-1991
329,79,1627,11-08-2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,09-09-2003
332,71,1656,02-08-2017,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",22-05-2006
333,58,485,16-12-2017,TRUE,Approved,OHM Cycles,Road,medium,medium,1280.28,$829.51,25-11-2001
336,55,506,05-10-2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,21-07-2003
338,32,1881,02-01-2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,18-03-2003
339,65,2903,04-12-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,31-08-2002
347,16,1777,12-04-2017,TRUE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",09-09-1994
349,100,2930,20-10-2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,1036.59,$206.35,06-05-1991
350,27,2354,26-10-2017,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,23-06-1999
353,18,1013,20-04-2017,TRUE,Approved,Norco Bicycles,Standard,high,medium,1148.64,$689.18,10-08-2015
355,82,968,22-03-2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,26-05-1993
356,88,727,09-07-2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,16-12-1998
358,6,3425,06-12-2017,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,07-11-1991
359,10,1614,10-11-2017,TRUE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,31-08-2002
360,69,2140,26-04-2017,TRUE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,10-01-2011
362,7,2920,22-09-2017,TRUE,Approved,Trek Bicycles,Road,low,medium,980.37,$234.43,03-03-2014
363,73,62,14-08-2017,TRUE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,31-08-2002
365,39,1995,03-05-2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1812.75,$582.48,11-12-2007
368,25,366,24-01-2017,TRUE,Approved,OHM Cycles,Standard,high,medium,2005.66,"$1,203.40",10-04-2012
370,78,2993,03-08-2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,25-07-2004
372,56,1692,16-08-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,18-05-2012
375,17,3276,05-07-2017,TRUE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,20-04-1993
380,3,1683,20-08-2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,15-09-2012
381,14,880,18-09-2017,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",24-10-1995
382,83,309,02-12-2017,TRUE,Approved,Solex,Touring,medium,large,2083.94,$675.03,02-08-2015
383,39,1698,28-11-2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1812.75,$582.48,09-05-2011
387,100,832,15-10-2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,1036.59,$206.35,06-05-1991
388,35,1033,03-05-2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,07-06-2010
389,17,2834,15-02-2017,TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80,09-11-1996
393,58,1208,30-08-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40,18-10-2015
395,43,3195,12-10-2017,TRUE,Approved,Solex,Standard,medium,medium,1151.96,$649.49,04-12-1999
396,88,3366,27-06-2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,03-11-2000
398,6,389,12-03-2017,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,05-08-2003
400,0,552,24-07-2017,TRUE,Approved,Solex,Standard,medium,medium,71.49,$53.62,07-02-2003
404,67,209,14-09-2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,04-08-2007
412,20,2350,11-05-2017,TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47",26-05-1993
414,65,3249,02-02-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,26-05-1993
415,76,2939,01-10-2017,TRUE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,10-07-1991
416,17,1035,03-11-2017,TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80,04-02-2016
418,39,3100,10-12-2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1812.75,$582.48,07-06-2010
420,97,31,25-05-2017,TRUE,Approved,OHM Cycles,Road,medium,medium,742.54,$667.40,03-03-2014
423,82,2498,15-09-2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,04-02-2016
424,96,3415,03-03-2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,16-01-2004
426,39,3117,24-04-2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1812.75,$582.48,07-06-2010
428,62,2779,30-11-2017,TRUE,Approved,Solex,Standard,medium,medium,478.16,$298.72,17-12-1998
432,79,1968,19-06-2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,09-09-2003
433,39,2923,17-12-2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1812.75,$582.48,11-12-2007
435,4,2659,22-07-2017,TRUE,Approved,Solex,Standard,medium,medium,1483.2,$99.59,17-12-1998
436,96,3417,26-09-2017,TRUE,Approved,WeareA2B,Road,low,small,1172.78,"$1,043.77",10-10-2002
437,13,1862,27-08-2017,TRUE,Approved,Solex,Standard,medium,medium,1577.53,$826.51,19-03-2008
439,33,2126,05-12-2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",18-03-2003
440,54,2702,20-10-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,18-10-2015
441,93,125,25-02-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09,03-11-2000
442,63,750,24-04-2017,TRUE,Approved,Solex,Standard,medium,medium,1483.2,$99.59,22-10-2005
445,65,850,25-11-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,21-05-2015
448,4,919,28-09-2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,28-09-2004
451,29,1194,02-12-2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,543.39,$407.54,22-11-2016
455,24,193,16-08-2017,TRUE,Approved,Solex,Road,medium,large,1777.8,$820.78,06-12-2016
456,84,1588,30-01-2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,11-04-2015
459,51,2821,29-04-2017,TRUE,Approved,OHM Cycles,Standard,high,medium,2005.66,"$1,203.40",10-04-2012
462,62,2794,05-09-2017,TRUE,Approved,Solex,Standard,medium,medium,478.16,$298.72,18-05-2012
463,96,3166,14-07-2017,TRUE,Approved,WeareA2B,Road,low,small,1172.78,"$1,043.77",10-10-2002
466,13,505,24-06-2017,TRUE,Approved,Solex,Standard,medium,medium,1577.53,$826.51,10-05-1997
468,53,2363,02-11-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58,20-07-1993
471,18,647,21-01-2017,TRUE,Approved,Solex,Standard,medium,medium,575.27,$431.45,26-07-1999
472,2,1304,09-02-2017,TRUE,Approved,Giant Bicycles,Road,low,small,590.26,$525.33,05-11-2010
474,18,1001,07-10-2017,TRUE,Approved,Solex,Standard,medium,medium,575.27,$431.45,12-03-2013
476,21,1787,19-08-2017,TRUE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,05-08-2003
478,98,524,18-01-2017,TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,16-01-2004
479,69,479,08-09-2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,11-04-2015
480,52,1782,17-04-2017,TRUE,Approved,OHM Cycles,Road,medium,medium,1280.28,$829.51,25-11-2001
481,16,361,15-03-2017,TRUE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",09-09-1994
483,59,1591,15-02-2017,TRUE,Approved,Solex,Standard,medium,large,1061.56,$733.58,20-07-1993
484,3,941,04-05-2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,21-07-2003
486,25,2729,24-07-2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,18-12-2004
487,27,223,15-02-2017,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,12-07-1994
488,10,1571,09-09-2017,TRUE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,09-09-1994
490,11,506,12-04-2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,04-08-2007
491,32,2676,10-12-2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,12-07-1994
492,90,547,11-01-2017,TRUE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,10-05-2005
493,44,2623,03-12-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,02-02-2006
494,92,1509,16-11-2017,TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,17-06-2015
495,21,479,09-08-2017,TRUE,Approved,Solex,Standard,medium,large,1071.23,$380.74,05-08-1991
497,62,1854,30-12-2017,TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80,02-10-1993
500,79,1446,02-02-2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,09-09-2003
501,28,2810,25-07-2017,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,"$1,082.36",19-12-1995
502,77,500,13-06-2017,TRUE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,09-06-2013
503,87,2468,07-08-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,1636.9,$44.71,20-08-2010
507,71,3468,02-09-2017,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",24-10-1995
510,85,3073,23-04-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36,02-08-2015
511,24,683,04-07-2017,TRUE,Approved,Solex,Road,medium,large,1777.8,$820.78,10-11-1991
512,62,1020,02-10-2017,TRUE,Approved,Solex,Standard,medium,medium,478.16,$298.72,23-06-1993
514,57,1679,02-01-2017,TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,18-05-2012
517,77,311,01-01-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,09-05-2011
519,77,997,19-10-2017,TRUE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,10-08-2015
523,84,2234,07-01-2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14,18-12-2004
524,99,1171,10-02-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,1227.34,$770.89,06-05-1991
526,20,827,02-04-2017,TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47",05-05-2010
527,14,1499,27-08-2017,TRUE,Approved,Trek Bicycles,Standard,medium,small,1386.84,"$1,234.29",15-07-1993
